store_id,name,genre,subgenre
com.SecretModeLimited.ALittletotheLeftSeeingStars,"A Little to the Left: Stars","Puzzle",TBD
com.homagames.studio.allinhole,"All in Hole: Black Hole Games","Puzzle",TBD
com.crazylabs.amaze.game,"AMAZE!","Puzzle",TBD
com.JindoBlu.Antistress,"Antistress - relaxation toys","Puzzle",TBD
com.arrows.escape,"Arrow Maze - Escape Puzzle","Puzzle",TBD
com.arrow.out,"Arrow Out","Puzzle",TBD
com.ecffri.arrows,"Arrows – Puzzle Escape","Puzzle",TBD
com.easybrain.art.puzzle,"Art Puzzle - Jigsaw Art Games","Puzzle",Jigsaw
org.hempuli.baba,"Baba Is You","Puzzle",TBD
com.zm.blockaway,"Block Away - Tap Out Puzzle","Puzzle",TBD
com.block.juggle,"Block Blast!","Puzzle",TBD
com.wood.block.sudoku.puzzle.bm,"Block Crush!","Puzzle",TBD
com.brain.logic.joygame,"Brain Puzzle 2: Logic Twist","Puzzle",TBD
com.fun.brain.game,"Brain Puzzle: Tricky Quest","Puzzle",TBD
com.braindom,"Braindom: Brain Games Test","Puzzle",TBD
com.puzzlemaster.brainy.trickystory,"Brainy Master Tricky Story","Puzzle",TBD
com.easybrain.brick.balls.blast,"Brick Blast - Ball Breaker","Puzzle",TBD
com.belkatechnologies.clockmaker,"Clockmaker: Jewel Match 3 Game","Puzzle",Match-3
com.czechgames.codenamesdigital,"Codenames","Puzzle",TBD
com.GybeGames.ColorBlockJam,"Color Block Jam","Puzzle",TBD
com.awesome.puzzlehexasort,"Color Slide - Hexa Puzzle","Puzzle",TBD
com.baf.connectballs,"Connect Balls - Line Puzzle -","Puzzle",TBD
com.feelcrafters.buspuzzle,"Crowd Express: Boarding Puzzle","Puzzle",TBD
find.difference.spot.differences.hidden.puzzle.games.free,"Differences - Find & Spot It","Puzzle",TBD
com.disney.emojimatch_goo,"Disney Emoji Blitz Game","Puzzle",TBD
com.screenshake.dominodreams,"Domino Dreams™","Puzzle",TBD
joybits.doodlegod,"Doodle God™","Puzzle",TBD
com.playstrom.dop4,"DOP 4: Draw One Part","Puzzle",TBD
com.playstrom.dop5,"DOP 5: Delete One Part","Puzzle",TBD
co.yakand.downinbermuda,"Down in Bermuda","Puzzle",TBD
com.abi.dream.unpacking,"Dreamy Room","Puzzle",TBD
com.brewgames.dropaway,"Drop Away: Color Puzzle","Puzzle",TBD
com.smallgiantgames.empires,"Empires & Puzzles: Match-3 RPG","Puzzle",Match-3
